nacionalidad,sexo,pais_de_destino,periodo,total,fuente
Total,Ambos sexos,Suiza,2020,3968,EM
Total,Ambos sexos,Suiza,2019,3937,EM
Total,Ambos sexos,Suiza,2018,4283,EM
Total,Ambos sexos,Suiza,2017,4917,EM
Total,Ambos sexos,Suiza,2016,6401,EM
Total,Ambos sexos,Suiza,2015,6574,EM
Total,Ambos sexos,Suiza,2014,6140,EM
Total,Ambos sexos,Suiza,2013,6760,EM
Total,Ambos sexos,Suiza,2012,5216,EM
Total,Ambos sexos,Suiza,2011,5173,EM
Total,Ambos sexos,Suiza,2010,4279,EM
Total,Ambos sexos,Suiza,2009,3340,EM
Total,Ambos sexos,Suiza,2008,2957,EM
Total,Ambos sexos,Ucrania,2020,2406,EM
Total,Ambos sexos,Ucrania,2019,2990,EM
Total,Ambos sexos,Ucrania,2018,2968,EM
Total,Ambos sexos,Ucrania,2017,3314,EM
Total,Ambos sexos,Ucrania,2016,2347,EM
Total,Ambos sexos,Ucrania,2015,1876,EM
Total,Ambos sexos,Ucrania,2014,2681,EM
Total,Ambos sexos,Ucrania,2013,5141,EM
Total,Ambos sexos,Ucrania,2012,4219,EM
Total,Ambos sexos,Ucrania,2011,3899,EM
Total,Ambos sexos,Ucrania,2010,3995,EM
Total,Ambos sexos,Ucrania,2009,4381,EM
Total,Ambos sexos,Ucrania,2008,3970,EM
Total,Ambos sexos,Moldavia,2020,273,EM
Total,Ambos sexos,Moldavia,2019,337,EM
Total,Ambos sexos,Moldavia,2018,680,EM
Total,Ambos sexos,Moldavia,2017,409,EM
Total,Ambos sexos,Moldavia,2016,534,EM
Total,Ambos sexos,Moldavia,2015,294,EM
Total,Ambos sexos,Moldavia,2014,437,EM
Total,Ambos sexos,Moldavia,2013,823,EM
Total,Ambos sexos,Moldavia,2012,857,EM
Total,Ambos sexos,Moldavia,2011,694,EM
Total,Ambos sexos,Moldavia,2010,784,EM
Total,Ambos sexos,Moldavia,2009,865,EM
Total,Ambos sexos,Moldavia,2008,693,EM
Total,Ambos sexos,Rusia,2020,3511,EM
Total,Ambos sexos,Rusia,2019,4076,EM
Total,Ambos sexos,Rusia,2018,4101,EM
Total,Ambos sexos,Rusia,2017,5118,EM
Total,Ambos sexos,Rusia,2016,3506,EM
Total,Ambos sexos,Rusia,2015,3115,EM
Total,Ambos sexos,Rusia,2014,3492,EM
Total,Ambos sexos,Rusia,2013,4963,EM
Total,Ambos sexos,Rusia,2012,3428,EM
Total,Ambos sexos,Rusia,2011,2853,EM
Total,Ambos sexos,Rusia,2010,2994,EM
Total,Ambos sexos,Rusia,2009,2984,EM
