nacionalidad,sexo,pais_de_destino,periodo,total,fuente
Española,Ambos sexos,Otro país de África,2023,859,EMCR
Española,Ambos sexos,Otro país de África,2022,847,EMCR
Española,Ambos sexos,Otro país de África,2021,877,EMCR
Española,Ambos sexos,América del Norte,2024,17257,EMCR
Española,Ambos sexos,América del Norte,2023,15974,EMCR
Española,Ambos sexos,América del Norte,2022,17061,EMCR
Española,Ambos sexos,América del Norte,2021,16677,EMCR
Española,Ambos sexos,Estados Unidos de América,2024,13185,EMCR
Española,Ambos sexos,Estados Unidos de América,2023,12046,EMCR
Española,Ambos sexos,Estados Unidos de América,2022,13211,EMCR
Española,Ambos sexos,Estados Unidos de América,2021,12553,EMCR
Española,Ambos sexos,México,2024,2633,EMCR
Española,Ambos sexos,México,2023,2544,EMCR
Española,Ambos sexos,México,2022,2643,EMCR
Española,Ambos sexos,México,2021,2699,EMCR
Española,Ambos sexos,Canadá,2024,1439,EMCR
Española,Ambos sexos,Canadá,2023,1384,EMCR
Española,Ambos sexos,Canadá,2022,1207,EMCR
Española,Ambos sexos,Canadá,2021,1425,EMCR
Española,Ambos sexos,Centro América y Caribe,2024,6601,EMCR
Española,Ambos sexos,Centro América y Caribe,2023,5295,EMCR
Española,Ambos sexos,Centro América y Caribe,2022,7530,EMCR
Española,Ambos sexos,Centro América y Caribe,2021,7044,EMCR
Española,Ambos sexos,Cuba,2024,1141,EMCR
Española,Ambos sexos,Cuba,2023,1044,EMCR
Española,Ambos sexos,Cuba,2022,1510,EMCR
Española,Ambos sexos,Cuba,2021,1790,EMCR
Española,Ambos sexos,Honduras,2024,261,EMCR
Española,Ambos sexos,Honduras,2023,222,EMCR
Española,Ambos sexos,Honduras,2022,261,EMCR
Española,Ambos sexos,Honduras,2021,182,EMCR
Española,Ambos sexos,Nicaragua,2024,323,EMCR
Española,Ambos sexos,Nicaragua,2023,197,EMCR
Española,Ambos sexos,Nicaragua,2022,179,EMCR
Española,Ambos sexos,Nicaragua,2021,160,EMCR
Española,Ambos sexos,República Dominicana,2024,3591,EMCR
Española,Ambos sexos,República Dominicana,2023,2710,EMCR
Española,Ambos sexos,República Dominicana,2022,3971,EMCR
Española,Ambos sexos,República Dominicana,2021,3427,EMCR
Española,Ambos sexos,Otros países de Centro América y Caribe,2024,1285,EMCR
Española,Ambos sexos,Otros países de Centro América y Caribe,2023,1122,EMCR
Española,Ambos sexos,Otros países de Centro América y Caribe,2022,1609,EMCR
Española,Ambos sexos,Otros países de Centro América y Caribe,2021,1485,EMCR
Española,Ambos sexos,Sudamérica,2024,22467,EMCR
Española,Ambos sexos,Sudamérica,2023,21306,EMCR
Española,Ambos sexos,Sudamérica,2022,26337,EMCR
Española,Ambos sexos,Sudamérica,2021,24461,EMCR
Española,Ambos sexos,Argentina,2024,3361,EMCR
Española,Ambos sexos,Argentina,2023,3255,EMCR
Española,Ambos sexos,Argentina,2022,3548,EMCR
Española,Ambos sexos,Argentina,2021,3548,EMCR
Española,Ambos sexos,Bolivia,2024,1900,EMCR
Española,Ambos sexos,Bolivia,2023,1624,EMCR
Española,Ambos sexos,Bolivia,2022,1755,EMCR
Española,Ambos sexos,Bolivia,2021,1383,EMCR
Española,Ambos sexos,Brasil,2024,1825,EMCR
Española,Ambos sexos,Brasil,2023,1650,EMCR
Española,Ambos sexos,Brasil,2022,1796,EMCR
Española,Ambos sexos,Brasil,2021,1845,EMCR
Española,Ambos sexos,Colombia,2024,3868,EMCR
Española,Ambos sexos,Colombia,2023,3371,EMCR
Española,Ambos sexos,Colombia,2022,4465,EMCR
Española,Ambos sexos,Colombia,2021,4656,EMCR
Española,Ambos sexos,Chile,2024,1206,EMCR
Española,Ambos sexos,Chile,2023,885,EMCR
Española,Ambos sexos,Chile,2022,1294,EMCR
Española,Ambos sexos,Chile,2021,1560,EMCR
Española,Ambos sexos,Ecuador,2024,4389,EMCR
Española,Ambos sexos,Ecuador,2023,4997,EMCR
Española,Ambos sexos,Ecuador,2022,5976,EMCR
Española,Ambos sexos,Ecuador,2021,4238,EMCR
Española,Ambos sexos,Paraguay,2024,862,EMCR
Española,Ambos sexos,Paraguay,2023,771,EMCR
Española,Ambos sexos,Paraguay,2022,973,EMCR
Española,Ambos sexos,Paraguay,2021,603,EMCR
Española,Ambos sexos,Perú,2024,1645,EMCR
Española,Ambos sexos,Perú,2023,1577,EMCR
Española,Ambos sexos,Perú,2022,2365,EMCR
Española,Ambos sexos,Perú,2021,1961,EMCR
Española,Ambos sexos,Uruguay,2024,690,EMCR
Española,Ambos sexos,Uruguay,2023,687,EMCR
Española,Ambos sexos,Uruguay,2022,785,EMCR
Española,Ambos sexos,Uruguay,2021,866,EMCR
Española,Ambos sexos,Venezuela,2024,2721,EMCR
Española,Ambos sexos,Venezuela,2023,2489,EMCR
Española,Ambos sexos,Venezuela,2022,3380,EMCR
Española,Ambos sexos,Venezuela,2021,3801,EMCR
Española,Ambos sexos,Otro país de Sudamérica,2024,0,EMCR
Española,Ambos sexos,Otro país de Sudamérica,2023,0,EMCR
Española,Ambos sexos,Otro país de Sudamérica,2022,0,EMCR
Española,Ambos sexos,Otro país de Sudamérica,2021,0,EMCR
Española,Ambos sexos,Asia,2024,7731,EMCR
Española,Ambos sexos,Asia,2023,6919,EMCR
Española,Ambos sexos,Asia,2022,7321,EMCR
Española,Ambos sexos,Asia,2021,7463,EMCR
Española,Ambos sexos,Bangladesh,2024,22,EMCR
Española,Ambos sexos,Bangladesh,2023,16,EMCR
Española,Ambos sexos,Bangladesh,2022,36,EMCR
Española,Ambos sexos,Bangladesh,2021,7,EMCR
Española,Ambos sexos,China,2024,791,EMCR
Española,Ambos sexos,China,2023,962,EMCR
Española,Ambos sexos,China,2022,882,EMCR
Española,Ambos sexos,China,2021,1450,EMCR
Española,Ambos sexos,Filipinas,2024,326,EMCR
Española,Ambos sexos,Filipinas,2023,399,EMCR
Española,Ambos sexos,Filipinas,2022,472,EMCR
Española,Ambos sexos,Filipinas,2021,364,EMCR
Española,Ambos sexos,India,2024,217,EMCR
Española,Ambos sexos,India,2023,199,EMCR
Española,Ambos sexos,India,2022,198,EMCR
Española,Ambos sexos,India,2021,240,EMCR
Española,Ambos sexos,Pakistán,2024,223,EMCR
Española,Ambos sexos,Pakistán,2023,282,EMCR
Española,Ambos sexos,Pakistán,2022,323,EMCR
Española,Ambos sexos,Pakistán,2021,358,EMCR
Española,Ambos sexos,Otro país de Asia,2024,6152,EMCR
Española,Ambos sexos,Otro país de Asia,2023,5061,EMCR
Española,Ambos sexos,Otro país de Asia,2022,5410,EMCR
Española,Ambos sexos,Otro país de Asia,2021,5044,EMCR
Española,Ambos sexos,Oceanía,2024,1591,EMCR
Española,Ambos sexos,Oceanía,2023,1832,EMCR
Española,Ambos sexos,Oceanía,2022,2190,EMCR
Española,Ambos sexos,Oceanía,2021,2550,EMCR
Española,Hombres,Total,2024,77158,EMCR
Española,Hombres,Total,2023,70095,EMCR
Española,Hombres,Total,2022,78122,EMCR
Española,Hombres,Total,2021,85259,EMCR
Española,Hombres,UE27_2020 sin España,2024,28458,EMCR
Española,Hombres,UE27_2020 sin España,2023,25579,EMCR
Española,Hombres,UE27_2020 sin España,2022,27440,EMCR
Española,Hombres,UE27_2020 sin España,2021,28484,EMCR
Española,Hombres,Bélgica,2024,2969,EMCR
Española,Hombres,Bélgica,2023,2418,EMCR
Española,Hombres,Bélgica,2022,2621,EMCR
Española,Hombres,Bélgica,2021,2248,EMCR
Española,Hombres,Bulgaria,2024,135,EMCR
Española,Hombres,Bulgaria,2023,136,EMCR
Española,Hombres,Bulgaria,2022,127,EMCR
Española,Hombres,Bulgaria,2021,137,EMCR
Española,Hombres,Dinamarca,2024,596,EMCR
Española,Hombres,Dinamarca,2023,580,EMCR
Española,Hombres,Dinamarca,2022,595,EMCR
Española,Hombres,Dinamarca,2021,416,EMCR
Española,Hombres,Finlandia,2024,241,EMCR
Española,Hombres,Finlandia,2023,183,EMCR
Española,Hombres,Finlandia,2022,322,EMCR
Española,Hombres,Finlandia,2021,217,EMCR
Española,Hombres,Francia,2024,9215,EMCR
Española,Hombres,Francia,2023,9070,EMCR
Española,Hombres,Francia,2022,8920,EMCR
Española,Hombres,Francia,2021,9708,EMCR
Española,Hombres,Irlanda,2024,1091,EMCR
Española,Hombres,Irlanda,2023,930,EMCR
Española,Hombres,Irlanda,2022,1147,EMCR
Española,Hombres,Irlanda,2021,981,EMCR
Española,Hombres,Italia,2024,1030,EMCR
Española,Hombres,Italia,2023,970,EMCR
Española,Hombres,Italia,2022,1103,EMCR
Española,Hombres,Italia,2021,1040,EMCR
Española,Hombres,Países Bajos,2024,1390,EMCR
Española,Hombres,Países Bajos,2023,1331,EMCR
Española,Hombres,Países Bajos,2022,1524,EMCR
Española,Hombres,Países Bajos,2021,1402,EMCR
Española,Hombres,Polonia,2024,400,EMCR
Española,Hombres,Polonia,2023,359,EMCR
Española,Hombres,Polonia,2022,409,EMCR
Española,Hombres,Polonia,2021,422,EMCR
Española,Hombres,Portugal,2024,1143,EMCR
Española,Hombres,Portugal,2023,993,EMCR
Española,Hombres,Portugal,2022,1008,EMCR
Española,Hombres,Portugal,2021,1103,EMCR
Española,Hombres,Alemania,2024,6951,EMCR
Española,Hombres,Alemania,2023,6018,EMCR
Española,Hombres,Alemania,2022,6837,EMCR
Española,Hombres,Alemania,2021,7803,EMCR
Española,Hombres,Rumanía,2024,154,EMCR
Española,Hombres,Rumanía,2023,171,EMCR
Española,Hombres,Rumanía,2022,156,EMCR
Española,Hombres,Rumanía,2021,186,EMCR
Española,Hombres,Suecia,2024,711,EMCR
Española,Hombres,Suecia,2023,620,EMCR
Española,Hombres,Suecia,2022,642,EMCR
Española,Hombres,Suecia,2021,750,EMCR
Española,Hombres,Lituania,2024,55,EMCR
Española,Hombres,Lituania,2023,24,EMCR
Española,Hombres,Lituania,2022,29,EMCR
Española,Hombres,Lituania,2021,60,EMCR
Española,Hombres,Otro país de la Unión Europea sin España,2024,2377,EMCR
Española,Hombres,Otro país de la Unión Europea sin España,2023,1776,EMCR
Española,Hombres,Otro país de la Unión Europea sin España,2022,2000,EMCR
Española,Hombres,Otro país de la Unión Europea sin España,2021,2011,EMCR
Española,Hombres,Europa menos UE27_2020,2024,15553,EMCR
Española,Hombres,Europa menos UE27_2020,2023,14374,EMCR
Española,Hombres,Europa menos UE27_2020,2022,15602,EMCR
Española,Hombres,Europa menos UE27_2020,2021,22638,EMCR
Española,Hombres,Noruega,2024,712,EMCR
Española,Hombres,Noruega,2023,561,EMCR
Española,Hombres,Noruega,2022,577,EMCR
Española,Hombres,Noruega,2021,746,EMCR
Española,Hombres,Reino Unido,2024,8303,EMCR
Española,Hombres,Reino Unido,2023,7837,EMCR
Española,Hombres,Reino Unido,2022,9232,EMCR
Española,Hombres,Reino Unido,2021,15383,EMCR
Española,Hombres,Suiza,2024,4288,EMCR
Española,Hombres,Suiza,2023,3907,EMCR
Española,Hombres,Suiza,2022,3435,EMCR
Española,Hombres,Suiza,2021,3901,EMCR
Española,Hombres,Ucrania,2024,43,EMCR
Española,Hombres,Ucrania,2023,29,EMCR
Española,Hombres,Ucrania,2022,25,EMCR
Española,Hombres,Ucrania,2021,23,EMCR
Española,Hombres,Moldavia,2024,4,EMCR
Española,Hombres,Moldavia,2023,1,EMCR
Española,Hombres,Moldavia,2022,0,EMCR
Española,Hombres,Moldavia,2021,0,EMCR
Española,Hombres,Rusia,2024,210,EMCR
Española,Hombres,Rusia,2023,128,EMCR
Española,Hombres,Rusia,2022,170,EMCR
Española,Hombres,Rusia,2021,198,EMCR
Española,Hombres,Otro país del resto de Europa,2024,1993,EMCR
Española,Hombres,Otro país del resto de Europa,2023,1911,EMCR
Española,Hombres,Otro país del resto de Europa,2022,2163,EMCR
Española,Hombres,Otro país del resto de Europa,2021,2387,EMCR
Española,Hombres,África,2024,2562,EMCR
Española,Hombres,África,2023,2268,EMCR
Española,Hombres,África,2022,2395,EMCR
Española,Hombres,África,2021,2641,EMCR
Española,Hombres,Argelia,2024,114,EMCR
Española,Hombres,Argelia,2023,112,EMCR
Española,Hombres,Argelia,2022,169,EMCR
Española,Hombres,Argelia,2021,123,EMCR
Española,Hombres,Gambia,2024,46,EMCR
Española,Hombres,Gambia,2023,41,EMCR
Española,Hombres,Gambia,2022,15,EMCR
Española,Hombres,Gambia,2021,27,EMCR
Española,Hombres,Ghana,2024,31,EMCR
Española,Hombres,Ghana,2023,27,EMCR
Española,Hombres,Ghana,2022,24,EMCR
Española,Hombres,Ghana,2021,45,EMCR
Española,Hombres,Guinea,2024,15,EMCR
Española,Hombres,Guinea,2023,17,EMCR
Española,Hombres,Guinea,2022,6,EMCR
Española,Hombres,Guinea,2021,16,EMCR
Española,Hombres,Guinea Ecuatorial,2024,200,EMCR
Española,Hombres,Guinea Ecuatorial,2023,159,EMCR
Española,Hombres,Guinea Ecuatorial,2022,223,EMCR
Española,Hombres,Guinea Ecuatorial,2021,256,EMCR
Española,Hombres,Mali,2024,14,EMCR
Española,Hombres,Mali,2023,42,EMCR
Española,Hombres,Mali,2022,30,EMCR
Española,Hombres,Mali,2021,52,EMCR
Española,Hombres,Marruecos,2024,1362,EMCR
Española,Hombres,Marruecos,2023,1090,EMCR
Española,Hombres,Marruecos,2022,1184,EMCR
Española,Hombres,Marruecos,2021,1342,EMCR
Española,Hombres,Mauritania,2024,72,EMCR
Española,Hombres,Mauritania,2023,98,EMCR
Española,Hombres,Mauritania,2022,70,EMCR
Española,Hombres,Mauritania,2021,45,EMCR
Española,Hombres,Nigeria,2024,28,EMCR
Española,Hombres,Nigeria,2023,23,EMCR
Española,Hombres,Nigeria,2022,42,EMCR
Española,Hombres,Nigeria,2021,30,EMCR
Española,Hombres,Senegal,2024,186,EMCR
Española,Hombres,Senegal,2023,144,EMCR
Española,Hombres,Senegal,2022,111,EMCR
Española,Hombres,Senegal,2021,140,EMCR
Española,Hombres,Otro país de África,2024,494,EMCR
Española,Hombres,Otro país de África,2023,515,EMCR
Española,Hombres,Otro país de África,2022,521,EMCR
Española,Hombres,Otro país de África,2021,565,EMCR
Española,Hombres,América del Norte,2024,9509,EMCR
Española,Hombres,América del Norte,2023,8696,EMCR
Española,Hombres,América del Norte,2022,9164,EMCR
Española,Hombres,América del Norte,2021,8815,EMCR
Española,Hombres,Estados Unidos de América,2024,7090,EMCR
Española,Hombres,Estados Unidos de América,2023,6345,EMCR
Española,Hombres,Estados Unidos de América,2022,6908,EMCR
Española,Hombres,Estados Unidos de América,2021,6430,EMCR
Española,Hombres,México,2024,1548,EMCR
Española,Hombres,México,2023,1550,EMCR
Española,Hombres,México,2022,1595,EMCR
Española,Hombres,México,2021,1646,EMCR
Española,Hombres,Canadá,2024,871,EMCR
Española,Hombres,Canadá,2023,801,EMCR
Española,Hombres,Canadá,2022,661,EMCR
Española,Hombres,Canadá,2021,739,EMCR
Española,Hombres,Centro América y Caribe,2024,3302,EMCR
Española,Hombres,Centro América y Caribe,2023,2722,EMCR
Española,Hombres,Centro América y Caribe,2022,3975,EMCR
Española,Hombres,Centro América y Caribe,2021,3714,EMCR
Española,Hombres,Cuba,2024,582,EMCR
Española,Hombres,Cuba,2023,544,EMCR
Española,Hombres,Cuba,2022,802,EMCR
Española,Hombres,Cuba,2021,927,EMCR
Española,Hombres,Honduras,2024,117,EMCR
Española,Hombres,Honduras,2023,118,EMCR
Española,Hombres,Honduras,2022,124,EMCR
Española,Hombres,Honduras,2021,79,EMCR
Española,Hombres,Nicaragua,2024,143,EMCR
Española,Hombres,Nicaragua,2023,80,EMCR
Española,Hombres,Nicaragua,2022,95,EMCR
Española,Hombres,Nicaragua,2021,82,EMCR
Española,Hombres,República Dominicana,2024,1727,EMCR
Española,Hombres,República Dominicana,2023,1334,EMCR
Española,Hombres,República Dominicana,2022,1999,EMCR
Española,Hombres,República Dominicana,2021,1747,EMCR
Española,Hombres,Otros países de Centro América y Caribe,2024,733,EMCR
Española,Hombres,Otros países de Centro América y Caribe,2023,646,EMCR
Española,Hombres,Otros países de Centro América y Caribe,2022,955,EMCR
Española,Hombres,Otros países de Centro América y Caribe,2021,879,EMCR
Española,Hombres,Sudamérica,2024,11835,EMCR
Española,Hombres,Sudamérica,2023,11104,EMCR
Española,Hombres,Sudamérica,2022,13547,EMCR
Española,Hombres,Sudamérica,2021,12842,EMCR
Española,Hombres,Argentina,2024,1740,EMCR
Española,Hombres,Argentina,2023,1717,EMCR
Española,Hombres,Argentina,2022,1781,EMCR
Española,Hombres,Argentina,2021,1829,EMCR
Española,Hombres,Bolivia,2024,926,EMCR
Española,Hombres,Bolivia,2023,743,EMCR
Española,Hombres,Bolivia,2022,764,EMCR
Española,Hombres,Bolivia,2021,670,EMCR
Española,Hombres,Brasil,2024,982,EMCR
Española,Hombres,Brasil,2023,961,EMCR
Española,Hombres,Brasil,2022,1062,EMCR
Española,Hombres,Brasil,2021,1120,EMCR
Española,Hombres,Colombia,2024,2097,EMCR
Española,Hombres,Colombia,2023,1721,EMCR
Española,Hombres,Colombia,2022,2333,EMCR
Española,Hombres,Colombia,2021,2418,EMCR
Española,Hombres,Chile,2024,703,EMCR
Española,Hombres,Chile,2023,548,EMCR
Española,Hombres,Chile,2022,757,EMCR
Española,Hombres,Chile,2021,883,EMCR
Española,Hombres,Ecuador,2024,2304,EMCR
Española,Hombres,Ecuador,2023,2560,EMCR
Española,Hombres,Ecuador,2022,2974,EMCR
Española,Hombres,Ecuador,2021,2160,EMCR
Española,Hombres,Paraguay,2024,448,EMCR
Española,Hombres,Paraguay,2023,456,EMCR
Española,Hombres,Paraguay,2022,519,EMCR
Española,Hombres,Paraguay,2021,323,EMCR
Española,Hombres,Perú,2024,872,EMCR
Española,Hombres,Perú,2023,837,EMCR
Española,Hombres,Perú,2022,1241,EMCR
Española,Hombres,Perú,2021,1053,EMCR
Española,Hombres,Uruguay,2024,391,EMCR
Española,Hombres,Uruguay,2023,348,EMCR
Española,Hombres,Uruguay,2022,396,EMCR
Española,Hombres,Uruguay,2021,436,EMCR
Española,Hombres,Venezuela,2024,1372,EMCR
Española,Hombres,Venezuela,2023,1213,EMCR
Española,Hombres,Venezuela,2022,1720,EMCR
Española,Hombres,Venezuela,2021,1950,EMCR
Española,Hombres,Otro país de Sudamérica,2024,0,EMCR
Española,Hombres,Otro país de Sudamérica,2023,0,EMCR
Española,Hombres,Otro país de Sudamérica,2022,0,EMCR
Española,Hombres,Otro país de Sudamérica,2021,0,EMCR
Española,Hombres,Asia,2024,5040,EMCR
Española,Hombres,Asia,2023,4412,EMCR
Española,Hombres,Asia,2022,4853,EMCR
Española,Hombres,Asia,2021,4875,EMCR
Española,Hombres,Bangladesh,2024,13,EMCR
Española,Hombres,Bangladesh,2023,11,EMCR
Española,Hombres,Bangladesh,2022,22,EMCR
Española,Hombres,Bangladesh,2021,4,EMCR
Española,Hombres,China,2024,566,EMCR
Española,Hombres,China,2023,692,EMCR
Española,Hombres,China,2022,599,EMCR
Española,Hombres,China,2021,993,EMCR
Española,Hombres,Filipinas,2024,189,EMCR
Española,Hombres,Filipinas,2023,235,EMCR
Española,Hombres,Filipinas,2022,290,EMCR
Española,Hombres,Filipinas,2021,212,EMCR
Española,Hombres,India,2024,134,EMCR
Española,Hombres,India,2023,126,EMCR
Española,Hombres,India,2022,113,EMCR
Española,Hombres,India,2021,146,EMCR
Española,Hombres,Pakistán,2024,125,EMCR
Española,Hombres,Pakistán,2023,152,EMCR
Española,Hombres,Pakistán,2022,188,EMCR
Española,Hombres,Pakistán,2021,204,EMCR
Española,Hombres,Otro país de Asia,2024,4013,EMCR
Española,Hombres,Otro país de Asia,2023,3196,EMCR
Española,Hombres,Otro país de Asia,2022,3641,EMCR
Española,Hombres,Otro país de Asia,2021,3316,EMCR
Española,Hombres,Oceanía,2024,899,EMCR
Española,Hombres,Oceanía,2023,940,EMCR
Española,Hombres,Oceanía,2022,1146,EMCR
Española,Hombres,Oceanía,2021,1250,EMCR
Española,Mujeres,Total,2024,60561,EMCR
Española,Mujeres,Total,2023,56806,EMCR
Española,Mujeres,Total,2022,63002,EMCR
Española,Mujeres,Total,2021,70274,EMCR
Española,Mujeres,UE27_2020 sin España,2024,21897,EMCR
Española,Mujeres,UE27_2020 sin España,2023,20574,EMCR
Española,Mujeres,UE27_2020 sin España,2022,21722,EMCR
Española,Mujeres,UE27_2020 sin España,2021,23200,EMCR
Española,Mujeres,Bélgica,2024,2438,EMCR
Española,Mujeres,Bélgica,2023,2068,EMCR
Española,Mujeres,Bélgica,2022,2169,EMCR
Española,Mujeres,Bélgica,2021,1952,EMCR
Española,Mujeres,Bulgaria,2024,47,EMCR
Española,Mujeres,Bulgaria,2023,63,EMCR
Española,Mujeres,Bulgaria,2022,52,EMCR
Española,Mujeres,Bulgaria,2021,59,EMCR
Española,Mujeres,Dinamarca,2024,357,EMCR
Española,Mujeres,Dinamarca,2023,374,EMCR
Española,Mujeres,Dinamarca,2022,342,EMCR
Española,Mujeres,Dinamarca,2021,330,EMCR
Española,Mujeres,Finlandia,2024,139,EMCR
Española,Mujeres,Finlandia,2023,90,EMCR
Española,Mujeres,Finlandia,2022,146,EMCR
Española,Mujeres,Finlandia,2021,153,EMCR
Española,Mujeres,Francia,2024,7138,EMCR
Española,Mujeres,Francia,2023,7499,EMCR
Española,Mujeres,Francia,2022,7387,EMCR
Española,Mujeres,Francia,2021,8060,EMCR
Española,Mujeres,Irlanda,2024,961,EMCR
Española,Mujeres,Irlanda,2023,893,EMCR
Española,Mujeres,Irlanda,2022,955,EMCR
Española,Mujeres,Irlanda,2021,1106,EMCR
Española,Mujeres,Italia,2024,1332,EMCR
Española,Mujeres,Italia,2023,1170,EMCR
Española,Mujeres,Italia,2022,1450,EMCR
Española,Mujeres,Italia,2021,1504,EMCR
Española,Mujeres,Países Bajos,2024,1099,EMCR
Española,Mujeres,Países Bajos,2023,1126,EMCR
Española,Mujeres,Países Bajos,2022,1197,EMCR
Española,Mujeres,Países Bajos,2021,1165,EMCR
Española,Mujeres,Polonia,2024,67,EMCR
Española,Mujeres,Polonia,2023,83,EMCR
Española,Mujeres,Polonia,2022,139,EMCR
Española,Mujeres,Polonia,2021,83,EMCR
Española,Mujeres,Portugal,2024,749,EMCR
Española,Mujeres,Portugal,2023,608,EMCR
Española,Mujeres,Portugal,2022,700,EMCR
Española,Mujeres,Portugal,2021,850,EMCR
Española,Mujeres,Alemania,2024,5558,EMCR
Española,Mujeres,Alemania,2023,4804,EMCR
Española,Mujeres,Alemania,2022,5290,EMCR
Española,Mujeres,Alemania,2021,6017,EMCR
Española,Mujeres,Rumanía,2024,72,EMCR
Española,Mujeres,Rumanía,2023,86,EMCR
Española,Mujeres,Rumanía,2022,90,EMCR
Española,Mujeres,Rumanía,2021,110,EMCR
Española,Mujeres,Suecia,2024,571,EMCR
Española,Mujeres,Suecia,2023,509,EMCR
Española,Mujeres,Suecia,2022,496,EMCR
Española,Mujeres,Suecia,2021,544,EMCR
Española,Mujeres,Lituania,2024,25,EMCR
Española,Mujeres,Lituania,2023,6,EMCR
Española,Mujeres,Lituania,2022,10,EMCR
Española,Mujeres,Lituania,2021,25,EMCR
Española,Mujeres,Otro país de la Unión Europea sin España,2024,1344,EMCR
Española,Mujeres,Otro país de la Unión Europea sin España,2023,1195,EMCR
Española,Mujeres,Otro país de la Unión Europea sin España,2022,1299,EMCR
Española,Mujeres,Otro país de la Unión Europea sin España,2021,1242,EMCR
Española,Mujeres,Europa menos UE27_2020,2024,11972,EMCR
Española,Mujeres,Europa menos UE27_2020,2023,11179,EMCR
Española,Mujeres,Europa menos UE27_2020,2022,11884,EMCR
Española,Mujeres,Europa menos UE27_2020,2021,18556,EMCR
Española,Mujeres,Noruega,2024,497,EMCR
Española,Mujeres,Noruega,2023,423,EMCR
Española,Mujeres,Noruega,2022,425,EMCR
Española,Mujeres,Noruega,2021,519,EMCR
Española,Mujeres,Reino Unido,2024,7046,EMCR
Española,Mujeres,Reino Unido,2023,6374,EMCR
Española,Mujeres,Reino Unido,2022,7395,EMCR
Española,Mujeres,Reino Unido,2021,13453,EMCR
Española,Mujeres,Suiza,2024,3173,EMCR
Española,Mujeres,Suiza,2023,3233,EMCR
Española,Mujeres,Suiza,2022,2823,EMCR
Española,Mujeres,Suiza,2021,3034,EMCR
Española,Mujeres,Ucrania,2024,11,EMCR
Española,Mujeres,Ucrania,2023,24,EMCR
Española,Mujeres,Ucrania,2022,7,EMCR
Española,Mujeres,Ucrania,2021,13,EMCR
Española,Mujeres,Moldavia,2024,1,EMCR
Española,Mujeres,Moldavia,2023,1,EMCR
Española,Mujeres,Moldavia,2022,0,EMCR
Española,Mujeres,Moldavia,2021,0,EMCR
Española,Mujeres,Rusia,2024,88,EMCR
Española,Mujeres,Rusia,2023,74,EMCR
Española,Mujeres,Rusia,2022,72,EMCR
Española,Mujeres,Rusia,2021,66,EMCR
Española,Mujeres,Otro país del resto de Europa,2024,1156,EMCR
Española,Mujeres,Otro país del resto de Europa,2023,1050,EMCR
Española,Mujeres,Otro país del resto de Europa,2022,1162,EMCR
Española,Mujeres,Otro país del resto de Europa,2021,1471,EMCR
Española,Mujeres,África,2024,1630,EMCR
Española,Mujeres,África,2023,1601,EMCR
Española,Mujeres,África,2022,1642,EMCR
Española,Mujeres,África,2021,1819,EMCR
Española,Mujeres,Argelia,2024,79,EMCR
Española,Mujeres,Argelia,2023,105,EMCR
Española,Mujeres,Argelia,2022,66,EMCR
Española,Mujeres,Argelia,2021,75,EMCR
Española,Mujeres,Gambia,2024,7,EMCR
Española,Mujeres,Gambia,2023,11,EMCR
Española,Mujeres,Gambia,2022,5,EMCR
Española,Mujeres,Gambia,2021,7,EMCR
Española,Mujeres,Ghana,2024,10,EMCR
Española,Mujeres,Ghana,2023,4,EMCR
Española,Mujeres,Ghana,2022,16,EMCR
Española,Mujeres,Ghana,2021,20,EMCR
Española,Mujeres,Guinea,2024,2,EMCR
Española,Mujeres,Guinea,2023,1,EMCR
Española,Mujeres,Guinea,2022,5,EMCR
Española,Mujeres,Guinea,2021,4,EMCR
Española,Mujeres,Guinea Ecuatorial,2024,175,EMCR
Española,Mujeres,Guinea Ecuatorial,2023,145,EMCR
Española,Mujeres,Guinea Ecuatorial,2022,228,EMCR
Española,Mujeres,Guinea Ecuatorial,2021,239,EMCR
Española,Mujeres,Mali,2024,10,EMCR
Española,Mujeres,Mali,2023,14,EMCR
Española,Mujeres,Mali,2022,9,EMCR
Española,Mujeres,Mali,2021,12,EMCR
Española,Mujeres,Marruecos,2024,938,EMCR
Española,Mujeres,Marruecos,2023,822,EMCR
Española,Mujeres,Marruecos,2022,881,EMCR
Española,Mujeres,Marruecos,2021,1015,EMCR
Española,Mujeres,Mauritania,2024,41,EMCR
Española,Mujeres,Mauritania,2023,22,EMCR
Española,Mujeres,Mauritania,2022,23,EMCR
Española,Mujeres,Mauritania,2021,32,EMCR
Española,Mujeres,Nigeria,2024,14,EMCR
Española,Mujeres,Nigeria,2023,28,EMCR
Española,Mujeres,Nigeria,2022,26,EMCR
Española,Mujeres,Nigeria,2021,21,EMCR
Española,Mujeres,Senegal,2024,104,EMCR
Española,Mujeres,Senegal,2023,105,EMCR
Española,Mujeres,Senegal,2022,57,EMCR
Española,Mujeres,Senegal,2021,82,EMCR
Española,Mujeres,Otro país de África,2024,250,EMCR
Española,Mujeres,Otro país de África,2023,344,EMCR
Española,Mujeres,Otro país de África,2022,326,EMCR
Española,Mujeres,Otro país de África,2021,312,EMCR
Española,Mujeres,América del Norte,2024,7748,EMCR
Española,Mujeres,América del Norte,2023,7278,EMCR
Española,Mujeres,América del Norte,2022,7897,EMCR
Española,Mujeres,América del Norte,2021,7862,EMCR
